ID,type,statement_count,statements,sequential_edges,true_edges,false_edges,back_edges,break_edges
286,loop check,1,for (k=0 ;k<4 ;k++),,287,,,
287,sequential,1,"int nr=cr+dr[k], nc=cc+dc[k] ;",288,,,,
288,conditional check,1,if (nr<=0||nc<=0||nr>=rows-1||nc>=cols-1),,289,292,,
289,sequential,0,,290,,,,
290,sequential,1,continue ;,,,,286,
291,sequential,0,,292,,,,
292,sequential,0,,293,,,,
293,conditional check,1,if (maze[nr][nc]=='#'),,294,297,,
294,sequential,0,,295,,,,
295,sequential,1,continue ;,,,,286,
296,sequential,0,,297,,,,
297,sequential,0,,298,,,,
298,conditional check,1,if (closed[nr][nc]),,299,302,,
299,sequential,0,,300,,,,
300,sequential,1,continue ;,,,,286,
301,sequential,0,,302,,,,
302,sequential,4,int ng = cg+1 ; | int h = abs(nr-endR)+abs(nc-endC) ; | int nf = ng + h ; | int inOpen=-1 ;,303,,,,
303,loop check,1,for (i=0 ;i<openN ;i++),,304,,,
304,sequential,0,,305,,,,
305,conditional check,1,if (openR[i]==nr && openC[i]==nc),,306,309,,
306,sequential,1,inOpen=i ;,307,,,,
307,sequential,1,break ;,,,,,310
308,sequential,0,,309,,,,
309,sequential,0,,310,,,303,
310,sequential,0,,311,,,,
311,conditional check,1,if (inOpen>=0),,312,316,,
312,sequential,0,,313,,,,
313,conditional check,1,if (ng < openG[inOpen]),,314,315,,
314,sequential,4,openG[inOpen]=ng ; | openF[inOpen]=nf ; | parentR[nr][nc]=cr ; | parentC[nr][nc]=cc ;,315,,,,
315,sequential,0,,316,,,,
316,sequential,0,,317,,,,
317,else branch,1,else,318,,,,
318,sequential,7,openR[openN]=nr ; | openC[openN]=nc ; | openG[openN]=ng ; | openF[openN]=nf ; | parentR[nr][nc]=cr ; | parentC[nr][nc]=cc ; | openN++ ;,319,,,,
319,conditional check,1,if (trace),,320,321,,
320,sequential,1,"printf("" A* add (%d,%d) g=%d f=%d\n"", nr, nc, ng, nf) ;",321,,,,
321,sequential,0,,322,,,,
322,sequential,0,,323,,,286,
323,sequential,1,},324,,,,
324,conditional check,1,if (found),,325,332,,
325,sequential,1,"int pr=endR, pc=endC, path=0 ;",326,,,,
326,loop check,1,while (!(pr==startR && pc==startC) && pr!=-1 && pc!=-1),,327,,,
327,sequential,0,,328,,,,
328,conditional check,1,if (maze[pr][pc]=='.'),,329,330,,
329,sequential,1,maze[pr][pc]='A' ;,330,,,,
330,sequential,4,"int tr=parentR[pr][pc], tc=parentC[pr][pc] ; | pr=tr ; | pc=tc ; | path++ ;",331,,,326,
331,sequential,3,"maze[startR][startC]='S' ; | maze[endR][endC]='E' ; | printf(""A* found path nodes=%d pathlen=%d\n"", nodes, path) ;",332,,,,
332,sequential,0,,333,,,,
333,else branch,1,else,334,,,,
334,sequential,1,"printf(""A* no path nodes=%d\n"", nodes) ;",335,,,,
335,sequential,0,,336,,,,
336,sequential,1,continue ;,,,,,
337,sequential,1,},338,,,,
338,conditional check,1,if (choice == 8),,339,361,,
339,sequential,1,"int walls=0, empt=0 ;",340,,,,
340,loop check,1,for (i=0 ;i<rows ;i++),,341,,,
341,sequential,0,,342,,,,
342,loop check,1,for (j=0 ;j<cols ;j++),,343,,,
343,sequential,0,,344,,,,
344,conditional check,1,if (maze[i][j]=='#'),,345,346,,
345,sequential,1,walls++ ;,346,,,,
346,sequential,0,,347,,,,
347,else branch,1,else,348,,,,
348,sequential,1,empt++ ;,349,,,,
349,sequential,0,,350,,,342,
350,sequential,0,,351,,,340,
351,sequential,1,"printf(""Cells %d walls %d empty %d density %.3f\n"", rows*cols, walls, empt, (double)walls/(rows*cols)) ;",352,,,,
352,loop check,1,for (i=0 ;i<rows ;i++),,353,,,
353,sequential,0,,354,,,,
354,loop check,1,for (j=0 ;j<cols ;j++),,355,,,
355,sequential,1,visited[i][j]=0 ;,356,,,354,
356,sequential,0,,357,,,352,
357,sequential,6,"int qR[10000], qC[10000], h=0, t=0 ; | qR[t]=startR ; | qC[t]=startC ; | t++ ; | visited[startR][startC]=1 ; | int reach=0 ;",358,,,,
358,loop check,1,while (h<t),,359,,,
359,sequential,6,"int cr=qR[h], cc=qC[h] ; | h++ ; | reach++ ; | int dr[4]= | { | 1,-1,0,0",360,,,358,
360,sequential,3,", dc[4]= | { | 0,0,1,-1",361,,,,
361,sequential,1,;,362,,,,
362,loop check,1,for (k=0 ;k<4 ;k++),,363,,,
363,sequential,1,"int nr=cr+dr[k], nc=cc+dc[k] ;",364,,,,
364,conditional check,1,if (nr<=0||nc<=0||nr>=rows-1||nc>=cols-1),,365,368,,
365,sequential,0,,366,,,,
366,sequential,1,continue ;,,,,362,
367,sequential,0,,368,,,,
368,sequential,0,,369,,,,
369,conditional check,1,if (maze[nr][nc]=='#'),,370,373,,
370,sequential,0,,371,,,,
371,sequential,1,continue ;,,,,362,
372,sequential,0,,373,,,,
373,sequential,0,,374,,,,
374,conditional check,1,if (visited[nr][nc]),,375,378,,
375,sequential,0,,376,,,,
376,sequential,1,continue ;,,,,362,
377,sequential,0,,378,,,,
378,sequential,4,visited[nr][nc]=1 ; | qR[t]=nr ; | qC[t]=nc ; | t++ ;,379,,,362,
379,sequential,2,"} | printf(""Reachable from S: %d\n"", reach) ;",380,,,,
380,loop check,1,for (i=0 ;i<rows ;i++),,381,,,
381,sequential,0,,382,,,,
382,loop check,1,for (j=0 ;j<cols ;j++),,383,,,
383,sequential,1,visited[i][j]=0 ;,384,,,382,
384,sequential,0,,385,,,380,
385,sequential,7,"int stkR[10000], stkC[10000], it[10000], sp=-1, maxD=0, depth=0 ; | sp++ ; | stkR[sp]=startR ; | stkC[sp]=startC ; | it[sp]=0 ; | visited[startR][startC]=1 ; | depth=1 ;",386,,,,
386,loop check,1,while (sp>=0),,387,,,
387,sequential,1,"int cr=stkR[sp], cc=stkC[sp], itv=it[sp] ;",388,,,,
388,conditional check,1,if (itv>3),,389,392,,
389,sequential,2,sp-- ; | depth-- ;,390,,,,
390,sequential,1,continue ;,,,,386,
391,sequential,0,,392,,,,
392,sequential,4,"it[sp] = itv+1 ; | int dr[4]= | { | 1,-1,0,0",393,,,386,
393,sequential,6,", dc[4]= | { | 0,0,1,-1 | } | ; | int nr=cr+dr[itv], nc=cc+dc[itv] ;",394,,,,
394,conditional check,1,if (nr<=0||nc<=0||nr>=rows-1||nc>=cols-1),,395,398,,
395,sequential,0,,396,,,,
396,sequential,1,continue ;,,,,,
397,sequential,0,,398,,,,
398,sequential,0,,399,,,,
399,conditional check,1,if (maze[nr][nc]=='#'),,400,403,,
400,sequential,0,,401,,,,
401,sequential,1,continue ;,,,,,
402,sequential,0,,403,,,,
403,sequential,0,,404,,,,
404,conditional check,1,if (visited[nr][nc]),,405,408,,
405,sequential,0,,406,,,,
406,sequential,1,continue ;,,,,,
407,sequential,0,,408,,,,
408,sequential,6,visited[nr][nc]=1 ; | sp++ ; | stkR[sp]=nr ; | stkC[sp]=nc ; | it[sp]=0 ; | depth++ ;,409,,,,
409,conditional check,1,if (depth>maxD),,410,411,,
410,sequential,1,maxD=depth ;,411,,,,
411,sequential,2,"} | printf(""Heuristic max depth: %d\n"", maxD) ;",412,,,,
412,sequential,1,continue ;,,,,,
413,sequential,1,},414,,,,
414,conditional check,1,if (choice == 9),,415,440,,
415,sequential,2,"int nr, nc ; | printf(""New rows cols (10..%d): "", MAXR-1) ;",416,,,,
416,conditional check,1,"if (scanf(""%d %d"",&nr,&nc)!=2)",,417,420,,
417,sequential,1,"printf(""Bad\n"") ;",418,,,,
418,sequential,1,continue ;,,,,,
419,sequential,0,,420,,,,
420,sequential,0,,421,,,,
421,conditional check,1,if (nr<10||nc<10||nr>MAXR||nc>MAXC),,422,425,,
422,sequential,1,"printf(""Out of range\n"") ;",423,,,,
423,sequential,1,continue ;,,,,,
424,sequential,0,,425,,,,
425,sequential,6,rows=nr ; | cols=nc ; | startR=1 ; | startC=1 ; | endR=rows-2 ; | endC=cols-2 ;,426,,,,
426,loop check,1,for (i=0 ;i<rows ;i++),,427,,,
427,sequential,0,,428,,,,
428,loop check,1,for (j=0 ;j<cols ;j++),,429,,,
429,sequential,0,,430,,,,
430,conditional check,1,if (i==0||j==0||i==rows-1||j==cols-1),,431,432,,
431,sequential,1,maze[i][j]='#' ;,432,,,,
432,sequential,0,,433,,,,
433,else branch,1,else,434,,,,
434,sequential,2,maze[i][j] = ((rand()%100) < 35) ? '#' : | '.' ;,435,,,,
435,sequential,3,visited[i][j]=0 ; | parentR[i][j]=-1 ; | parentC[i][j]=-1 ;,436,,,428,
436,sequential,0,,437,,,426,
437,sequential,3,"maze[startR][startC]='S' ; | maze[endR][endC]='E' ; | printf(""Resized to %d x %d\n"", rows, cols) ;",438,,,,
438,sequential,1,continue ;,,,,,
439,sequential,0,,440,,,,
440,sequential,2,"printf(""Invalid option\n"") ; | }",441,,,,
441,sequential,1,Exit,,,,,
