ID,type,statement_count,statements,sequential_edges,true_edges,false_edges,back_edges,break_edges
109,sequential,3,"printf(""Enter key to search: "") ; | scanf(""%d"", &key) ; | int left = 0, right = n - 1, found = 0, mid ;",110,,,,
110,loop check,1,while (left <= right),,111,,,
111,sequential,1,mid = (left + right) / 2 ;,112,,,,
112,conditional check,1,if (arr[mid] == key),,113,116,,
113,sequential,1,found = 1 ;,114,,,,
114,sequential,1,break ;,,,,,123
115,sequential,0,,116,,,,
116,sequential,0,,117,,,,
117,conditional check,1,else if (arr[mid] < key),,118,119,,
118,sequential,1,left = mid + 1 ;,119,,,,
119,sequential,0,,120,,,,
120,else branch,1,else,121,,,,
121,sequential,1,right = mid - 1 ;,122,,,,
122,sequential,0,,123,,,110,
123,sequential,0,,124,,,,
124,conditional check,1,if (found),,125,126,,
125,sequential,1,"printf(""Key %d found at index %d.\n"", key, mid) ;",126,,,,
126,sequential,0,,127,,,,
127,else branch,1,else,128,,,,
128,sequential,1,"printf(""Key %d not found.\n"", key) ;",129,,,,
129,sequential,0,,130,,,,
130,sequential,0,,131,,,,
131,conditional check,1,else if (choice == 7),,132,136,,
132,sequential,1,"printf(""Array: "") ;",133,,,,
133,loop check,1,for (i = 0 ;i < n ;i++),,134,,,
134,sequential,1,"printf(""%d "", arr[i]) ;",135,,,133,
135,sequential,1,"printf(""\n"") ;",136,,,,
136,sequential,0,,137,,,,
137,conditional check,1,else if (choice == 8),,138,148,,
138,sequential,1,int inv = 0 ;,139,,,,
139,loop check,1,for (i = 0 ;i < n ;i++),,140,,,
140,sequential,0,,141,,,,
141,loop check,1,for (j = i + 1 ;j < n ;j++),,142,,,
142,sequential,0,,143,,,,
143,conditional check,1,if (arr[i] > arr[j]),,144,145,,
144,sequential,1,inv++ ;,145,,,,
145,sequential,0,,146,,,141,
146,sequential,0,,147,,,139,
147,sequential,1,"printf(""Number of inversions: %d\n"", inv) ;",148,,,,
148,sequential,0,,149,,,,
149,conditional check,1,else if (choice == 9),,150,169,,
150,sequential,1,int temp_arr[100] ;,151,,,,
151,loop check,1,for (i = 0 ;i < n ;i++),,152,,,
152,sequential,1,temp_arr[i] = arr[i] ;,153,,,151,
153,sequential,0,,154,,,,
154,loop check,1,for (i = 0 ;i < n - 1 ;i++),,155,,,
155,sequential,0,,156,,,,
156,loop check,1,for (j = 0 ;j < n - i - 1 ;j++),,157,,,
157,sequential,0,,158,,,,
158,conditional check,1,if (temp_arr[j] > temp_arr[j + 1]),,159,160,,
159,sequential,3,temp = temp_arr[j] ; | temp_arr[j] = temp_arr[j + 1] ; | temp_arr[j + 1] = temp ;,160,,,,
160,sequential,0,,161,,,156,
161,sequential,0,,162,,,154,
162,sequential,2,"printf(""Enter k (1-%d): "", n) ; | scanf(""%d"", &k) ;",163,,,,
163,conditional check,1,if (k >= 1 && k <= n),,164,165,,
164,sequential,1,"printf(""k-th smallest: %d, k-th largest: %d\n"", temp_arr[k - 1], temp_arr[n - k]) ;",165,,,,
165,sequential,0,,166,,,,
166,else branch,1,else,167,,,,
167,sequential,1,"printf(""Invalid k.\n"") ;",168,,,,
168,sequential,0,,169,,,,
169,sequential,0,,170,,,,
170,conditional check,1,else if (choice == 10),,171,175,,
171,sequential,0,,172,,,,
172,loop check,1,for (i = 0 ;i < n / 2 ;i++),,173,,,
173,sequential,3,temp = arr[i] ; | arr[i] = arr[n - i - 1] ; | arr[n - i - 1] = temp ;,174,,,172,
174,sequential,1,"printf(""Array reversed.\n"") ;",175,,,,
175,sequential,0,,176,,,,
176,conditional check,1,else if (choice == 11),,177,181,,
177,sequential,0,,178,,,,
178,loop check,1,for (i = n - 1 ;i > 0 ;i--),,179,,,
179,sequential,4,j = rand() % (i + 1) ; | temp = arr[i] ; | arr[i] = arr[j] ; | arr[j] = temp ;,180,,,178,
180,sequential,1,"printf(""Array shuffled.\n"") ;",181,,,,
181,sequential,0,,182,,,,
182,conditional check,1,else if (choice != 0),,183,184,,
183,sequential,1,"printf(""Invalid option. Try again.\n"") ;",184,,,,
184,sequential,0,,185,,,17,
185,sequential,1,"printf(""Final Array:\n"") ;",186,,,,
186,loop check,1,for (i = 0 ;i < n ;i++),,187,,,
187,sequential,1,"printf(""%d "", arr[i]) ;",188,,,186,
188,sequential,2,"printf(""\nExiting program.\n"") ; | printf(""Final Array:\n"") ;",189,,,,
189,loop check,1,for (i = 0 ;i < n ;i++),,190,,,
190,sequential,1,"printf(""%d "", arr[i]) ;",191,,,189,
191,sequential,2,"printf(""\n"") ; | int sum = 0, min = arr[0], max = arr[0] ;",192,,,,
192,loop check,1,for (i = 0 ;i < n ;i++),,193,,,
193,sequential,1,sum += arr[i] ;,194,,,,
194,conditional check,1,if (arr[i] < min),,195,196,,
195,sequential,1,min = arr[i] ;,196,,,,
196,sequential,0,,197,,,,
197,conditional check,1,if (arr[i] > max),,198,199,,
198,sequential,1,max = arr[i] ;,199,,,,
199,sequential,0,,200,,,192,
200,sequential,6,"printf(""Array Statistics:\n"") ; | printf(""Sum: %d\n"", sum) ; | printf(""Average: %.2f\n"", sum / (float)n) ; | printf(""Min: %d, Max: %d\n"", min, max) ; | printf(""Do you want to run another array? Enter 1 for yes, 0 for no: "") ; | scanf(""%d"", &repeat) ;",201,,,,
201,conditional check,1,if (repeat == 1),,202,203,,
202,sequential,1,"printf(""Restart the program to input a new array.\n"") ;",203,,,,
203,sequential,1,"printf(""Exiting program.\n"") ;",204,,,,
204,sequential,1,Exit,,,,,
